	tweet	class	prediction
18459	"RT @WhenRapperSaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/pto&#8230;"	1	2
22153	There's a bird nest in my garage and so now when the birds fly out they poop on my car. &#128529;	2	1
10198	How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.	2	0
14502	RT @Alyssamichh: @Tronkitty bad bitch&#128158;	1	2
23532	Y'all suck on flappy bird	2	1
2805	@CaelanG15 that nigga was eating that hoe lol	1	0
14450	RT @AdamSchein: I think it is flat out wrong to blame Brian Cashman for the 2014 Yankees. @SNYtv	2	0
3670	@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.	1	0
6471	@joshkline1992 that's my nig nog	1	0
12322	Its wayyyyy more going on now than 2 have u pushing yo trash ass music right now	1	0
23336	Why can't I have colored eyes like my siblings &#128557;&#128557;	2	1
10961	I liked a @YouTube video http://t.co/QGNHiLdTTv The Sock Fairy, a short film	2	0
18486	RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.	2	1
23301	Who wanna play pin da tail on da colored man's butt?	2	0
7153	@salome110thebe1 whats good then bitch Ass nigga catch your phase	1	0
7332	@team_Darrion just like a Velcro headed moon cricket to say fucking jungle bunny	1	0
24445	how you insecure but a hoe? TF	1	0
20677	RT @trillmnded: bitches will fuck a nigga with money knowing he ain't buying her shit. but won't fuck a broke nigga that would give her his&#8230;	1	0
5898	"@chrisbrown @cmpunk If by ""amusing"" you mean ""Makes you cry like a bitch,"" then yeah, I'd agree."	1	0
17476	RT @ReginaldSpears: If Hank Jr. was half the man his daddy was, he'd bitch-slap Brantly Gilbert for having his name in his mouth.	1	2
14640	RT @BallinInHD: Behind every lame ass nigga... is a lame ass bitch that is constantly telling him how real he is...	1	0
3420	"@HOGANnoHulk_ @Lov3Tadaisha Terrance you wanna be one of my ""hoes"" &#128514;&#9995;"	1	2
24313	fat bitches fat bitches heeeey	0	1
3730	@JayKollsKSTP please tell those fuming cops that they are a bunch of coward little bitches, and should not be allowed near weapons. Thanks.	1	0
2850	@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.	2	0
12060	Im the niggah she really wanna ride wit	1	0
19764	RT @jballinbutts420: @Jamie_Caudillo you're retarded enough to be both. But atleast I have a date to bring you on for your birthday&#10084;&#65039;&#128535;	1	0
1232	&#8220;@DAMNfuckNEE I just wana eat some food. Drink some liq. Go to this party. And have a bad bitch waitin on a nigga when I return.&#8221;&#8221;	1	0
23396	Why you gotta be such a hoe smh I ain't captain save a hoe !!	1	0
4238	@MikeyDJaro haha 1. I would go for the S 2. Those fag colors are reserved for @JoeyTaormina	1	0
1706	&#8220;@__thaRealist: Lil bitty bitch&#8221; &#128079;&#128079;&#128079;&#128079;&#128079;lingo	1	2
24898	retard.	1	0
22960	Watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!	1	0
5794	@bocgeogaddi @anepicname lmaooooo epic bird wins.	2	1
3329	"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!"	2	0
3554	@ITS_MAKEPEACE i donno who demz iz? But ima bout to get white gurll ghetto on there asses when i find out....	1	0
12396	Johnny Rebel - Quit your bitchin' nigger!: http://t.co/uCGhrY7zGe	0	2
24127	bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em	0	1
21724	TRUST ME #Seattle&gt; WE GIVE #Thanksgiving it's DUE&gt; A huge, flightless bird? Dream come true for European bird eaters.......	2	1
23991	Your girl pussy like a walk in clinic, the cure for every sick nigga	1	0
2481	@AmericanMirror @Praedor The Cop was bitch slapped by this wanna B st. thug. And he got what TM got Dead See you don't slap cops they R law	1	0
8001	"Any dope nigga or pretty chick is gon have people wantin their attention.. Y'all gotta grow up with that ""you got hoes"" shit.."	1	0
7475	@walterthecat121 @GalliumRBLX how is it being colored blind?	2	0
6769	@littlelinnda @NasshRodriguez @linndaroose linda you just @ yourself rn you retard^^	1	0
13707	No bitch. You slut. RT @ITSBEEBITCH__: @viaNAWF CHILL	1	0
3054	@Dave_the_wavee the giants are trash...their time is over.	2	0
7665	A nicca ain't perfect but my heart is pure	1	2
7331	@tdwp327 practically anything that&#8217;s colored red often contain red pigments extracted from the female coccus costa, or cochineal insect.	2	0
3431	@HarleyyyQuinn_ trash	2	0
21954	The Guy got excited when he saw Oreo cookie crusts. He thought I was making pie. He was bummed when he realized it was cheesecake.	2	0
3739	@JefDaBest: The fact this bird ass nigga took my phone and did a light skin pose in school @Mrste617 smh lol http://t.co/Zd3vctXGXh	1	0
10101	Hit me up with plans nigs	1	0
14837	RT @BroadDayJay_: Fellas remember to stock up on thermals and Timbs before the dykes buy them all	1	0
2152	' This Niggah Kevin Hart couldn't sit down lmaoooooooooooo My niggah My Niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1043358;&#1043351;&#1043323;	1	0
15598	RT @FreshCigarette: Can you cunts go 20 seconds without talking about weed	1	0
19118	RT @bugattibeez: to u bitches who have upside down default pictures, die. nobody has time to flip they phone around to see if u even uglier&#8230;	1	2
8794	Cuh, this is our SCRUM&#9994; #FallSevens #DisTONGA #NiniWubbsMe We're finna smash some bitches&#128170;&#128079; #Rugby http://t.co/6VufVaO2ek	1	2
14872	RT @Buckm00se: @Wildblood817 I seen what you look like ,not impressed.dont talk shit you dirt looking bitch	1	0
24027	after the steelers lost the superbowl i loaded up the black and yellow gmix on my moms computer, i think the youtube page is still open	2	0
9681	Ghetto bird can't fly away from my hood	2	0
24439	hot nigga is just as big as I don't like was. bobby bitch nice too RT @BLASTography: @WaymoTheGod he won't tho	1	0
22644	Three little birds	2	1
9774	Goodmorning uu bitch ass niggas !!!	1	0
3350	@GirlThatsVonte i wont ima come piss in yours bitch	1	0
21520	Someone needs to get this boring Nike fag off the stage.	1	0
5175	@Torn_Rose republican teabaggers should be jailed for treason.....	2	0
5724	@b1gsean21 lets just say hellen keller makes better brownies	2	0
4547	@Pinche_Escobar too make up for your yellow chompers? #candyass	2	0
17727	"RT @SkinnyKenny13: ""@1017_Sqquad: When a fat bitch want you and a skinny bitch can't cook nothin for you &#128514;&#128514;&#128514; these hoes ain't hungry &#128514;&#128514;"" do&#8230;"	1	0
15794	RT @HakoSav: Bruh why am i always sooooooooooooooo tired but i never sleep i'm like a new species of retard no disrespect	1	0
9338	Feminist aka a bitch.	0	1
1231	&#8220;@CuffablePisces: TONY ROMO in my #Top10QBs bitches&#8221; http://t.co/17sA90xG2H	1	2
4870	@SonnieJohnson is 72% out of wedlock births a lie? latinos in 2nd place.# mostly driven up by illegal aliens w/ anchor babies	2	0
16549	RT @LessonswithKate: you got hoes, I got niggas.	1	0
10736	I hate my dog's name.. It sounds so ghetto. &#128528;	2	1
16249	RT @Juicy_Squeaky: Any bitch who need a crowd to fight is clearly easily influenced &amp; weak minded &amp; most likely will commit suicide &#128514;&#128514;	0	1
14769	RT @Blessedyaszay: #IWantToPunchPeopleWho mock God	2	0
6296	@iDoSexWell @MamiJuuki @Baddiies @AjukiWebster the nerve of these hoes	1	0
14823	"RT @Brianhopecomedy: &#8220;Daddy, Batman&#8217;s parents are dead.&#8221;

&#8220;Yup.&#8221;

&#8220;And Superman&#8217;s.&#8221;

&#8220;Yup.&#8221;

&#8220;What am I going to be when you die?&#8221;

&#8220;Sad ho&#8230;"	2	0
22574	This nigga Magic Johnson got a Grade A faggot for a son &#128514;&#128514;.. He had to have done some terrible shit growin up lol..	1	0
7472	@vj44 umm how about they are at home raising kids? You are retarded.	1	0
380	"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf"	1	2
9231	Every nigga tryna fuck the next nigga bitch but not knowing his bitch is the next nigga bitch	1	0
23422	Wish they'd teach Tracee. RT @kanYeBreast: all chihuahuas do that squinty eye shit. I think it's hilarious.	1	0
13738	No time for bitch niggas.	1	0
21702	Swear to god man niggas talk more than bitches these days	1	0
8533	Can Dick Sherman get caught doing blow of a tranny hooker some time soon please? Preferably Pete Carroll	1	0
14319	"RT ""@_ThatGAPeach: &amp; alla my niggas hot boys , so don't bring no ice in this bitch &#128130;&#8221;"	0	1
928	#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad	2	0
3295	@FukknTyler I ain't light skin nigga I'm even colored lmao	1	0
9795	Got hit on by a 70 yr old cripple...&amp; thinking, even if I were to accept your sexual advances there wouldn't be much you could do about it.	1	0
7207	@serenity_23 I assume so, the tranny went out this morning. I have a maxima.	2	0
811	"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot"	0	2
7712	Adam West? RT @share_ps4: LMAO this is trash b http://t.co/TsvuMw92HU	2	0
22749	Truuuuuuuuuuu facts both then niggaz is pussy nd I'll tag em both @meekmill nd cassidy r/p by my nigga let http://t.co/NhYODSpP	1	0
16280	RT @KILLSheredon: you the nigga in high school who got shoved into lockers and thrown into trash cans @TvvitterRoasts	1	0
14868	RT @BubbaFishh: @Huntermoore @claire_mac this cunt is still talking!? Holy fuck, can you just get breast cancer already	1	0
14706	RT @BiIIMurray: My iPhone has 2 million times the storage of the 1969 Apollo 11 spacecraft computer. They went to the moon. I throw bird ...	2	1
13387	My mama made me some brownies they was everything &#128553;	2	1
21157	She a dyke if one side of her head is faded out	1	0
8193	Because I'd rather wear my hair long and have piercings, I'm a faggot that will never go anywhere in life.	1	0
2909	@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca	1	2
8488	But she is a hoe.? &#8212; idk about that http://t.co/eccFBqzlKZ	1	2
23283	Who da fuck is yo? Idk nigguh	1	0
15351	RT @DiandraSaysSo: &#8220;@itzbreak: like you have to be borderline retarded not to see andre 3000's elite skill level for example.&#8221; Yep! This go&#8230;	1	0
8003	Any nicca gettin it n da ass is a fag! &#8220;@CruellaDeTrill: Howw? Please explain this twitter logic. I'm confused. &#128553; @Im_Yung_Jay @YuTwatching&#8221;	1	0
11807	"If I've never seen her do some ""hoe"" shit with my own eyes then I refuse to let another nigga influence my thoughts on her. So what?"	1	0
10925	I knw these bitch niggas frm way back... if u was ah pussy in 2000 u ah pussy now!!!	1	0
16089	RT @J_Kwest: @HarveyWordman is lupe fiascos retarded illegitimate son	1	0
3342	@GinaMarieZ all I did was bitch about Jessie, still love you anyway	1	0
4728	@RyeOrDie because them niggas that told you bitch made &amp; they not real niggas or any kind of real	1	0
5235	@VZWSupport Your update for my s3 pretty much broke 4G and made it absolutely annoying and retarded.	1	0
17770	RT @SoulYodeler: Go ahead and mock me, one day I'll sell enough of this make-up to drive the pink Mary Kay Cadillac and we'll see who's gay&#8230;	1	2
23196	When my right hand get out niggas gon remember why we tru loyal pussy	1	0
8629	Cavs trash too	2	0
1304	"&#8220;@GdoubleT: @BrianMC630 find a loyal ho&#8221;

@finntasticccc &#128521;"	1	2
7713	Add my snapchat lil bitch: TreVaughn3	1	2
19960	RT @lildurk_: How you wife dat bitch 2many niggas fucked from my clique 2many niggas actin so rich all dese boppin hoes on my dick #Maserati	1	0
4260	@MissYankee @Sportsteamnews Looking at the Royals and wondering what could have been if we didn't decimate the Yankee farm system.	2	0
22458	This bitch looks like a tranny tho.	1	0
19820	RT @juliebenz: I drink unicorn tears... RT @thecarnage07: @juliebenz And they say blondes don't age well :) You look like you're 20 :) ho&#8230;	2	0
19144	"RT @causeweregirls: Bae: ""Go talk to your hoes""

Me: http://t.co/kKk5pSBv9F"	1	2
7217	@shawnpitts77 all I wear is vineyard vines and American flag chubbies. I'm the OPPOSITE of a wigga.	1	2
23918	You think I'd learn by now that once red flag bullshit appears to gtfo. But nooooo I have to have faggot ass faith in people.	1	0
20716	RT @vackra_lognn: I don't know why I go on that pancake face bitchs twitter. She gets me tight every time	1	2
4354	"@NYRKelsMads 
You never survive in da colored hood"	2	0
2979	@CruzanChoklate look at you with yellow fever.	2	0
2741	@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.	1	0
3959	@KoiyaThePerv exactly so tweet some other shit fuck all that don't be like everybody this ain't monkey see monkey do koiya	1	0
21913	That's like saying I've had the pinto since 72 RT @Shallow__Al @TonyClevenger dude I've had an iPhone since the beginning.	2	0
23459	Work ,nigga fuck work!! It's Friday bitches, fuck Friday!! All about Saturday !!! Tomorrow will be epic!!	1	0
16890	RT @MostSecretFacts: Twitter's home button is a birdhouse. When you join you're an egg. The logo is a bird. Most people don't realize this.	2	0
19062	"RT @berto__9: Them trick niggas splurge on the pussy, yo
You give me one day, I'll purge on that pussy yoooo"	1	0
8724	Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC	2	0
19414	"RT @fart: i just found out that ""marehood"" is code for ""horse pussy"" #brony #mlp http://t.co/ycQTmM3lid"	1	2
3118	@DizzyBala God awful, and that dude is Dorian / eggplant black.	2	0
16011	RT @ImaLAGirl: Pillow talking too yo hoe hating on a nigga fuck around loose ya hoe like that &#128175;	0	1
3328	@GenuinelyOT you out yo mind. Rose colder than Kim, &amp; way more down to earth. Kanye bitch give him more problems than Wiz's does.	1	0
15371	"RT @Doestaxxx: Stop fuckin jail birds. RT""@__BRAT_: Niggas that's that serious about ass play scare me. That shit so sus"""	1	0
23549	Ya last nicca couldn't beat it .. I hit it like a free throw!	1	2
19700	RT @it_itt: @docrocktex26 doing nothing as an agenda. unbelievable that the Dems failed to use that against the teabaggers. @AfricanPrinces&#8230;	2	0
6651	@kieffer_jason oh am I lame but yo pussy ass didn't show up the fuck u talking bout oh scary ass white boy	0	1
19318	RT @dnumberbefore_2: I want to take the time tonight to acknowledge all of the ex hoes	1	0
3812	@Juice__2 nah you're a nigger	1	0
6947	@nekolin @DestroTheNoble naaaa, just the faggots! So....I guess you wouldn't be around very long....would ya!	1	0
7276	@sramirez07943 That's you faggot you eat shit for fun &#128514;&#128514;	1	0
4159	@MarketWiseNick In many areas has that look, but need to see bean count-said it before, beans are a bitch-tend to do what you don't expect	1	0
1956	&#8220;@tay_torrez &amp; wealthy? RT @DrTruth247: My aunt said I'm handsome fuck you hoes&#8221;broke	1	0
16603	"RT @Lipe_the_Great: Had to charge my ipod. 
Fuck the redskins."	1	0
15661	RT @Fvnxy: When bae turns out to be a hoe http://t.co/h37nSQCmaR	1	2
6045	@don07052 almost mad a nigguh catch some stacks at lunch, close one	1	0
3996	@LampreyMilt @DelSchilling @BertLoch No woman deserves to be sole stomped like that. He is a bitch, and so is everyone watching doing nada.	1	2
3232	@FOLLOWNOVA Yooo I was thinking bout that the other day lol.. You only really speaking of one person my niggah	1	0
9168	Easy Congo! RT @80sbaby4life Fuckin faggot RT @HumbltonBanks: All though I eat my lunch on the road frequently	1	0
560	"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam"	1	2
9188	Elizabeth is a.stupid hoe.	0	1
22706	Too little too late bitch ass nigga	1	0
6479	@jstewcoolcat fag lol	1	0
8824	DEREK JETER clap clap clapclapclap #Yankees	2	0
9357	Finding cheap 240s on Craigslist but they all need a new tranny &#128553;&#128532;	2	1
13422	My niccas was too Real fa these Streets #RIP Ike #Free Nwax http://t.co/0a2dy3vZkm	1	2
8029	Aren't these little border jumpers supposed to be in school	2	0
21762	Teen gets all her holes penetrated and even fists her own&#160;twat http://t.co/8yE0RTk7xc	1	2
18114	"RT @TheRealIceTre: bae: ""come over""

me: ""i'm tryna catch a pokemon""

bae: ""i'm horny tho""

me: ""bitch it's a fucking mewtwo"""	1	0
5644	@alesiahenderson wat a faggot	1	0
7474	@w1LLiam_ bruh we was my fam, nd yeah pussy niggas get no respect.	1	0
22354	They thought I wouldn't make it pussy nigga we made it	1	0
9797	Got my mind made nicca ... Fuk u pay me!	1	0
1833	&#8220;@itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies &#128557;&#128514;&#128514;&#128514;&#8221;No BS	1	0
17425	"RT @RappersSaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/ffPu1w&#8230;"	1	2
16968	"RT @NFLonFOX: Palmer to Fitzgerald - TOUCHDOWN! 

7-yard slant gives Arizona the 7-0 lead.

8 plays, 79 yds"	2	0
11801	If I was stranded on a desert island and I could only bring 1 thing, I would bring Dora. That hoe has everything in that backpack.	1	0
5004	@TechN9ne why did they add your name all ghetto like that? Looks like they used label maker, lol!	2	0
3331	@Get__Em__Craig I was sleep hoe where you at	1	0
17339	"RT @Princessofwifi: ""Stop being such a bitch""
Me: http://t.co/RGg9IduVsi"	1	2
4791	@SchulzGrayson @Dswizzle3 and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass	1	0
2760	"@Brutal_Brandy We had a Pacer in the 70s &amp; I 'member loving when ""Hair of the Dog"" came on the quadraphonic stereo so I could say ""bitch""lol"	1	0
19856	RT @kep0ne: I'm pretty sure @Krislisisms just called that dude a faggot	1	0
10601	I gassss on these niggas, I got gas for all these hoes	1	0
24574	im wearing a sweater and it's ike 80 degrees in my house	2	0
11754	Idgaf I have my coon moments	1	0
9163	Early bird gets the worm!	2	1
6293	@iAyanna_ young thug ain't earn his strips yet lol just a few 2k14 bangers. Wiz can do dat cuz he not a lil nigguh of the rap game lol	1	0
10517	I don't talk to niccas I talk to god we can relate	1	0
23919	You think she classy niggah but she really ratchet	1	0
21203	"She say she want a nigga like me
But that bitch mad cause she can't be my wifey"	1	0
23134	"When Chief Keef said ""I aint done turning up bitch!"" http://t.co/bx2mXV2osO"	1	2
4596	@RAEPaelMunturo @WorldStarFunny aye sae en feeld kawkin dyke	1	0
1154	&#8220;@BasedChasen: Chad Jordan in this bitch&#8221; I'm crying	1	2
6945	@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.	1	0
7660	A lotta u niccas ain't who u say u is!	1	2
20426	"RT @schoolfession: ""My ex girlfriends telling people I sell pills and coke. Retweet if she's a bitch."" - Durant HS"	1	2
20799	"RT @xDSmooth: #shoutout to that niggah @1BookieG 
Go follow"	1	0
6885	@mis_sarahd @basedpapi1017 never said I wanted to fuck a tranny...	1	0
13589	Nicca In my DM talkn bout follow his Instagram .. Lame nicca I now no longer follow you on twitter .. #WhereTheyDoThatAt	1	0
22293	These niccas sangin on dey partnas witout a Grammy award	1	0
6047	@don07052 that nigguh sucks	1	0
6943	@neeishaaa one thing about it baby I will NEVER Call a bitch phone bout a nigga. Ion know what app somebody playing with but it AINT ME	1	0
16336	"RT @KayciMalynn: &#8220;@__0utcast___: Kayci and I greet each other by saying ""hey cunt"" like it makes me lol&#8221;

-The only person okay with me cal&#8230;"	1	2
18396	RT @VillageBae: Don't block me because you think a post is about you...just ask me. Like a boss. You employee ass bitch.	1	0
14727	RT @Bigboybeezy: &#8220;@IgnoreAllLaws: Pick one http://t.co/TBWonqMnJV&#8221; the girl behind the bar who ain't being a hoe	1	2
4792	@SchulzGrayson @Dswizzle3 if your going to talk shit at least back it up and fight bitch ass nigga i swear u niggas from are fake pussy boy	1	0
23229	When you colored every day is Sunday	2	0
3176	@EaglesandHeat @Bpfillherup @SoleUniv nigga you done bumped yo head. Li nings fire but Kobe 9 Elite golds are trash!? http://t.co/NaadECTQAk	1	0
15983	RT @ImJustCeej: RT @BarackOMamba: RT @IntenseDesire: Bow wow look like the stress of saving a hoe is wearing him down http://t.co/mTzjAAc0W2	1	2
3637	@IvetteBrianna_ fag	1	0
24344	geekylesbianscientists: theblairbetch: douglasrichardsonships: kayla-bird: okay but consider this though:... http://t.co/zAHyXtaVvo	1	2
484	"""I got a sister, she told me stop calling women bitches.."""	1	2
7162	"@santagati that's bc I deleted ""visionary"" once I saw your subtweet. next time just @ me tho. (and I do love jail bird dresses.&#128513;)"	2	1
7094	@realDonaldTrump call him a pussy as he should!	1	0
4759	@SadderDre @PoeticGenius19 who knows man. That Uncle Tom mentality will never die. Ol Martin Baker headass	1	0
13199	Mommy said no pussy cats inside my dawgs house	2	1
19620	RT @iRealFrankOcean: It goes from &#8220;babe&#8221; to &#8220;bitch&#8221; &#8220;I love you&#8221; to &#8220;I hate you&#8221; &#8220;I need you&#8221; to &#8220;fuck you&#8221; &#8220;you&#8217;re my everything&#8221; to &#8220;you&#8217;&#8230;	1	2
2855	@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe	1	0
20262	RT @papo_fonseca: Niqqas talk more then bitches these days.	1	0
5152	@TinnyTimm taylor wack ass bitch nigga	1	0
10890	I just whipped up these #homemade #pickled #eggs while home being a cripple... Made with #garlic&#8230; http://t.co/0xKFnW3luF	2	0
23330	Why are you the only thick character in the game? Why I gotta play a skinny bitch? @KimKardashian	1	2
8558	Can you catch a box hoe	1	0
22039	The left tho RT @BelloDisastro_: &#8220;@DJZeeti: twitpic a selfie with a bad bitch&#8221; &#127851;&#127851;&#127851; http://t.co/9X0CkRTgVr	1	2
6650	@kieffer_jason nigga what I was talking bout after school. Or when ever your choice bitch	1	0
9860	HBA trash	2	0
22629	This white bitch tried to set me up for a racial war ... Lol bitch it's impossible I'm smarter then you	0	1
12290	It's throw it in her throat thursdays so make a ghetto gaggler out of her	1	0
21676	Such a trash episode of the walking dead tonight.	2	0
18297	RT @Tylar____: @1stBlocJeremiah Why you sneak dissin you hoe ass nigga	1	0
4619	@Rasheed_Sheen everything but im outside come get this bitch	1	0
21733	Take off you fucking hoser!	1	2
10205	How the hell was David Murphy's hit not a home run?! Clearly over the yellow line. @MLB another umpire mess up.... Smh	2	0
2975	"@CreoleBabyBritt @blurbette @thepbg The same guy who thinks he can slang around ""bitch"" without it being offensive, apparently."	1	2
3686	@JacobbBacker @fucktyler Tyler isn't shit faggot go listen to some real music	1	0
22333	They got the redskins faking injuries	2	0
18353	RT @UrbanCraziness: when you see a bitch nigga subtweet you http://t.co/vvhEhwDRWf	1	0
11460	I'll give you a baby zebra girl.	2	0
11197	I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;	1	0
6316	@iamSHIRAQ ion have a FB, niggas on twitter ain't worried about me, &amp; them IG nigga foe EVERYBODY so try again &#128514; my BFFL got the hoes	1	0
20522	RT @suckdisdpiece69: I'm gonna rock out with my cock out, and you're gonna jam out with your clam out	1	0
12419	Juss got this hoe. Free so why not? Lop :p http://t.co/TR8b5D7U	1	2
13373	My honky, my honky. My motherfucking honky.	1	0
13661	Niggas gossip like hoes man I ain't wid that shit	1	0
12468	Just seen a pic comparison of Lou Holtz and he grandma off Beverly hillbillies and I can't stop crying tears of unfathomable hilarity.	2	0
5719	@b0ss561 just beat the pussy up	1	0
3463	"@HilareeJay I hate those creepy ass dolls that call you dada, I'm like ""bitch I ain't yo daddy"""	1	0
20191	"RT @nicoleyyrosiee: Remember in 2001 when the Yankees were in Boston and the crowd was cheering USA instead of ""Yankees suck"" I love baseba&#8230;"	2	0
6562	@keishagreyxxx that's the beauty of them brownies I always daydream about what I'd do if I hit the powerball lol (nerdy but fun)	2	0
21284	Shutup faggot RT @black_taco_: To fumble @Thotcho: Took them a while&#8220;	1	0
15372	RT @DogBountyHunter: @WarMachine170 Hey Boy This half breed Chiricahua Apache is on YOUR ASS #Eatmytazer !!	1	0
13486	My wigga... http://t.co/1pbGYaoW3N	1	2
586	"""Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad.."	1	0
1676	&#8220;@_Georjay: @ZoeBoi03 happy birthday little bitch.&#8221; BOFL this made me laugh when I read it &#128514;&#128514;	1	2
6192	"@ghostattics translation: ""i like how i dont really have to think about it"" or ""i dont think queers deserve a happy ending"""	1	0
4467	@OleanderPlume But no joke I will say NO IT IS NOT an Oleander and wife will say Son of a bitch.. Ron, yes the hell it is get out your book	1	0
11747	Ian watch Maury in so long ..Maury wear jeans on the show now.. I guess he like f**k I need to dress up for these ghetto ass ppl anymore	1	0
4346	@NTXProgressive Yeah..cause if anyone thinks this clown went to @target to buy Oreos is as stupid as all of them look	2	0
2676	@BjwalkinRIVERS bro that hoe live	1	0
23319	Whos pussy is it she said richie's	1	0
6771	@lkxox_ bitch*	1	2
3656	@JPantsdotcom @Todd__Kincannon @the__realtony naaaaa, just popped across my TL, so I commented. But nice try faggot!	1	0
24398	having a blast yesterday...she even had me on the monkey bars tryna kill myself lol! http://t.co/31g1KM56	2	0
14959	"RT @CauseWereGuys: Call a girl a ""bitch"" and she'll get offended but if u put ""bad"" in front she'll swear she's a queen"	1	0
1815	&#8220;@iDisrespectHoez: RT @GodOfMilfs: Single moms got that proven pussy&#8221; LOL fckd up but truuu	1	2
4612	@Rachijuana I popped a Molly every day last year #beat#that#bitch	1	2
9793	Got damn the Lakers trash....	2	0
11232	I tell u this tho, if/when u nigger women start getting cornrows again...mannn just don't do it	1	0
879	#porn,#android,#iphone,#ipad,#sex,#xxx, | #Anal | Hardcore british queer anal pounding http://t.co/lRuEixMy21	1	0
9925	Happy birthday fag @collin_geer love ya	1	0
3189	@El_Grillo1 Off to the east of your current location, on an east-facing slope (dry side of a dry place).	2	0
9570	Fuck you, hoe ass nigga RT@UberFacts The white-fronted parrot is the only other species besides humans that French kiss as a prelude to sex.	1	0
12024	Im elated i passed on my creative gene to my daughter but she also got the retarded gene too.	1	0
