	tweet	class	prediction
16762	RT @MaryWCVB: Charlie Baker about to make his final election eve campaign stop- here at Swampscott High School. #wcvb #wcvbpoli http://t.co&#8230;	2	2.0
10494	I don't hit women but I'd slap tf out a bitch. No close fisted business though that's some cowardly shit.	1	2.0
23121	"What's this #picslip shit? If your posting a pic. IT'S NOT A SLIP!
Don't flatter yourself. *stupid ass bitches!"	1	1.0
22439	This bitch is really geeking in my messages &#128514;&#128514;&#128514;	1	1.0
10198	How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.	2	1.0
17640	RT @SexualTruth: Eating your womans pussy is good for the soul.	1	2.0
14450	RT @AdamSchein: I think it is flat out wrong to blame Brian Cashman for the 2014 Yankees. @SNYtv	2	1.0
2168	' when it comes to pussy I have no fucking friends' - hostel iii is really what we're watching right now	1	1.0
7202	@selenalinn_ the jets are trash my bad i see what you meant &#128514;	2	1.0
3670	@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.	1	1.0
23030	Well I wish I could shoot the shit wit u bitches but daddy gotta get dis money .one	1	2.0
23336	Why can't I have colored eyes like my siblings &#128557;&#128557;	2	1.0
10053	Her pussy wet I call it Fiji water	1	1.0
17593	RT @SarcasmLeague: Back in elementary school, when you were line leader, everybody else was your bitch.	1	2.0
18486	RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.	2	2.0
15249	RT @DaMeatIsThicke: How you invite me over to fuck but I can smell yo pussy from across the room??? Man ain't that dinner she cook then bou&#8230;	1	1.0
9919	Happy Easter you dirty sons a bitches! #NFG #WGE #FindTheEggs #EggsAreInHerAss http://t.co/pNQLgWzNd3	1	2.0
5314	@Worth_BILLions &#128528; bitch you got me fucked up &#128514;&#128514;	1	0.0
24445	how you insecure but a hoe? TF	1	2.0
20246	"RT @ortiz_jaylene: I'm a ""tall big booty bitch"" wtf lol &#128557;&#128557;&#128557;&#128514;&#128514;"	1	1.0
4828	@ShayLovesYa bitch u lame as fuk lol	1	0.0
7145	@ryancruz_ brandy wanna b down ass bitches &#128533;	1	2.0
20677	RT @trillmnded: bitches will fuck a nigga with money knowing he ain't buying her shit. but won't fuck a broke nigga that would give her his&#8230;	1	0.0
5898	"@chrisbrown @cmpunk If by ""amusing"" you mean ""Makes you cry like a bitch,"" then yeah, I'd agree."	1	1.0
17476	RT @ReginaldSpears: If Hank Jr. was half the man his daddy was, he'd bitch-slap Brantly Gilbert for having his name in his mouth.	1	2.0
16659	"RT @LovelyMariiee: ""@GinaSanabria_: Exes swear they can do better, then you see their next bitch ..... &#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;"""	1	0.0
3420	"@HOGANnoHulk_ @Lov3Tadaisha Terrance you wanna be one of my ""hoes"" &#128514;&#9995;"	1	2.0
16165	RT @Jeremiah_337: Well bitch biology said RT @TEEJUSTYCE Who said 2 females can't make a baby together? That's all me. &#128106; http://t.co/5vEGg6&#8230;	1	1.0
23396	Why you gotta be such a hoe smh I ain't captain save a hoe !!	1	1.0
23604	Yea you bad but hoe so what??	1	1.0
4076	@LouieVRee @TehReelHov dat bitch a tampon	1	1.0
5794	@bocgeogaddi @anepicname lmaooooo epic bird wins.	2	1.0
5709	@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.	0	1.0
20602	RT @thecoreyholcomb: You are who you kick it wit y'all. Check yo squad- if busters &amp; blameamotherfucker ass bitches surround U it's twice a&#8230;	1	1.0
14713	RT @BigBootyProbs: Happy Valentine&#8217;s Day big booty bitches. &#10084;	1	1.0
9789	Got all the black bitches mad cuz my main bitch vanilla	1	1.0
23991	Your girl pussy like a walk in clinic, the cure for every sick nigga	1	1.0
2481	@AmericanMirror @Praedor The Cop was bitch slapped by this wanna B st. thug. And he got what TM got Dead See you don't slap cops they R law	1	0.0
6769	@littlelinnda @NasshRodriguez @linndaroose linda you just @ yourself rn you retard^^	1	0.0
18065	RT @TheFatKidJames: @Von_VonRichter Bro fuck you for leaving! Lol no but have a great time up there and don't forgot about the bros back ho&#8230;	1	2.0
6077	"@edwards_cait but you were too busy being a raging bitch and not caring that your ""best friend"" was going through hell So there's my punch &#128139;"	1	2.0
21155	She a bird for that ... Shit was disrespectful! Then ran outside n left her man to get bossed on!	1	1.0
1456	&#8220;@MosoKnowso: If a photographer doesn't have a back story on how he started, he did it for pussy #believethat&#8221; #CANTKNOCKTHAHUSSLE	1	1.0
14837	RT @BroadDayJay_: Fellas remember to stock up on thermals and Timbs before the dykes buy them all	1	0.0
14846	"RT @BrosConfessions: ""If you are nice girls, they will be bitches to you. If you are an asshole, girls will want your dick. #womanlogic"""	1	2.0
9094	Drake was singing that shit so bitches would buy NWTS...lmao. Nobody even remembers that album	1	2.0
20993	Ross a bitch for not responding	1	2.0
12241	It's definitely a bitch everything in life is ruled by money. Such a moral heartbreak.	1	1.0
15719	"RT @GoatRapLines: When Lil Wayne said ""Even deaf bitches say ""Hi"" to me, she tell a blind bitch and she say ""I gotta see"""" my headphones ju&#8230;"	1	0.0
10594	I fucked the shit out yo bitch yesterday til she couldn't stand straight she called me earlier asking could she come and get a replay	1	1.0
16166	RT @JeremyPlatt: Yah she was a hoe...	1	1.0
1331	&#8220;@HighClassCapri: @what_evaittakes ohhhhh yes bitch yesss&#8221;u ready T?&#128527;&#128520;	1	2.0
13728	No police department that hires gypsies, half-breeds, and nigglets should be trusted.	0	1.0
10445	I did anything for my bitch now these hoes only get hard dick nbs	1	0.0
8794	Cuh, this is our SCRUM&#9994; #FallSevens #DisTONGA #NiniWubbsMe We're finna smash some bitches&#128170;&#128079; #Rugby http://t.co/6VufVaO2ek	1	1.0
5603	@_xpriceless_ @Casio_DatGuy bitch get punched tf out lol	1	1.0
5670	@amandabynes i can give you some of my clothes so you can look like a cute dyke	0	1.0
4602	@REM_2014 I'm drunk that hoe by myself bro solo dolo	1	1.0
10554	I eats the pussy.	1	0.0
22036	The lady talking about I have to sit in this seat and I have 3 hours to piss like bruh ! I already tried twice, I can't fucking pee bitch!	1	1.0
8290	"Bitches be like ""Keep Calm I'm Single""........... first of all bitch, nobody was hype"	1	1.0
24258	dodgerofzion asked: A giant green rooster walks in carrying a tray of brownies. You may have a brownie in... http://t.co/Rn0sWWuIq9	2	1.0
16619	RT @Liveitupjersey: @1SleepingGiant @bad_boy_six That's what I call the bitch and block! If you fuck with someone stay and fight! She hit t&#8230;	1	1.0
850	"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;"	0	1.0
7592	@z0mbiedance message me hoe! I need to plan stuff.	1	2.0
1129	&#8220;@AndyyDotCom: Every female owns a thong &#8220;@Ben_Dough: If she wear thongs she a hoe lol&#8221;&#8221; both facts	1	1.0
12787	Live birds found in Elmo doll at US-Mexico border (from @AP) http://t.co/JCH9HQVlPl	2	1.0
18870	RT @_imREDhoe: heard a bitch say im ugly but ha nigga thank different &#128523; you say you mainline he dont treat me no different &#9996;&#128540;	1	2.0
10149	Homemade Soup is very good with vegetables on the side with crackers http://t.co/LiRwGwkdzE	2	2.0
19876	RT @king_daddy001: That bitch got a red COOTCHEE rover and shit &#128514;&#128514;&#128514;&#128514;&#128514; @erykahminor_	1	2.0
11943	If you hang with hoes, you're a hoe by association. If you try and debate this, you're a hoe. If you get offended by this, you're a hoe.&#128175;	1	2.0
8122	Bad bitch contest you in first place &#128175; http://t.co/c1cPZMzEQR	1	1.0
12680	Let those bitches keep loving sosa	1	2.0
5724	@b1gsean21 lets just say hellen keller makes better brownies	2	2.0
4547	@Pinche_Escobar too make up for your yellow chompers? #candyass	2	2.0
11290	I wake up every morning wishing a bitch would.	1	1.0
18034	RT @TheBardockObama: Yea but who gets more bitches grandma	1	1.0
19240	RT @dabosss_: &#128056;&#9749;&#65039;&#8220;@100046729: #oomf lying knowing he don't be bored in Brusly fckn that bald head hoe.&#8221;	1	1.0
858	"#inktober #twentysix #gouache #mt snappy pappy and his bitch 3.5x2.5"" good thing sable paintbrushes&#8230; http://t.co/4gYBEI5Mkl"	1	1.0
4858	@Smokey_Bahr Go get that sum bitch	1	1.0
14823	"RT @Brianhopecomedy: &#8220;Daddy, Batman&#8217;s parents are dead.&#8221;

&#8220;Yup.&#8221;

&#8220;And Superman&#8217;s.&#8221;

&#8220;Yup.&#8221;

&#8220;What am I going to be when you die?&#8221;

&#8220;Sad ho&#8230;"	2	2.0
23427	With no babymama drama , side hoes all that ...just fa me n only me !	1	1.0
3864	@Kaaaat__ make that llama your bitch	1	1.0
20442	RT @shananigans__: 50 shades of shut your bitch ass up	1	1.0
23164	When bae say she goin to the club with her girls I be outside that bitch at 2am like... http://t.co/yJowfMziKf	1	1.0
9231	Every nigga tryna fuck the next nigga bitch but not knowing his bitch is the next nigga bitch	1	1.0
6054	"@drew4130 @mailgal2000
Y'all hire colored folk? Only work half da day and throw da mail in da sewer if we ain't done"	0	0.0
15296	RT @DarthVenn: So this is the woman who was a bird then turned into a woman from the sky in Nigeria. http://t.co/34DcwJkVeF	2	1.0
16222	RT @JoleenDoreen: I was in a Kik group once. But we called it a party line and old Charlie the barber was always hogging the calls.	2	2.0
8533	Can Dick Sherman get caught doing blow of a tranny hooker some time soon please? Preferably Pete Carroll	1	2.0
24521	i wouldnt for michaelangelo RT @DerekIsNormal: YAAAAAAASSS!!! RT @TheYelloNegro: These hoes out of control https://t.co/t4waR9G8cT	1	1.0
14319	"RT ""@_ThatGAPeach: &amp; alla my niggas hot boys , so don't bring no ice in this bitch &#128130;&#8221;"	0	2.0
20726	RT @versaceezy: she said &#8220;i want a man who can pick me up during sex&#8221; bitch you lucky i picked you up at all gas prices high as hell	1	1.0
3295	@FukknTyler I ain't light skin nigga I'm even colored lmao	1	1.0
17547	RT @SBNation: Reds fan snags foul ball, gets shoved by player, flips bird, becomes True American Hero: http://t.co/yDu4PR531R http://t.co/&#8230;	2	1.0
3386	@GrandeHead biiiiitch that hoe looks perfect haha but iight	1	1.0
10335	I become more of a bitch day by day&#128514;&#128514;&#128514;	1	1.0
811	"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot"	0	1.0
17575	RT @SaertjeMirror: I am a zebra amongst the sheep.	2	2.0
13387	My mama made me some brownies they was everything &#128553;	2	1.0
5865	@cb_marie as u should that's jus a clutch ass spot bitch we in there for the turn up &#128553;&#128553;&#128553;	1	2.0
14625	RT @BaabyD_: lol im off this brooo. bitches janky. &#128557;&#128514;&#128175;	1	2.0
10318	I be like... bitch please. lol http://t.co/PNVmaacWY0	1	2.0
22076	The same bitches telling you to let it go are the same ones that would go in and grab it right after you.&#128175;&#128079;	1	2.0
13774	Not even sweating these hoes &#128524;&#128588;	1	1.0
15351	RT @DiandraSaysSo: &#8220;@itzbreak: like you have to be borderline retarded not to see andre 3000's elite skill level for example.&#8221; Yep! This go&#8230;	1	1.0
11516	I'm addicted to IG, Twitter just my side bitch	1	1.0
1819	&#8220;@iDntWearCondoms: U get what u put in. If all u offering is pussy don't be mad when all u receive is dick&#8221; &#128588;	1	1.0
5598	@_travvv's pussy. http://t.co/aXm9PCw95T	1	0.0
4728	@RyeOrDie because them niggas that told you bitch made &amp; they not real niggas or any kind of real	1	2.0
21262	Shoutout that real bitch	1	1.0
14115	Pedro is a little bitch cause he never DM me.	1	1.0
15715	"RT @GlennSoucy1: The crows warned you to stay away from the island. Will you?
THE SOUL COLLECTOR
http://t.co/VTc661dC65 #IAN1 http://t.co/1&#8230;"	2	1.0
23196	When my right hand get out niggas gon remember why we tru loyal pussy	1	0.0
14397	RT @ABCbirds1: #Colorado lawmakers consider nation&#8217;s 1st #wind energy legislation to protect #birds &amp; #bats. http://t.co/shwQYb76pw http://&#8230;	2	1.0
19960	RT @lildurk_: How you wife dat bitch 2many niggas fucked from my clique 2many niggas actin so rich all dese boppin hoes on my dick #Maserati	1	1.0
13629	Nigga, this bitch is scaring me. Pass me the blunt &#128514;&#128514;	1	1.0
23434	Wiz lost his bitch to this nigga ain't no weed in the world strong enough to help him get over that http://t.co/L2xzrUqwkP	1	2.0
23540	YOU and them bitches that you came wit	1	2.0
4809	@SelfCuttingGirl @AnthonyCumia I thought he would think it was cute...you know, like when you shut your clam up for 5 minutes! #dunce	2	2.0
20584	RT @the_ironsheik: hello @TheBatman you are now official big time pussy	1	2.0
3055	@DavetheBrave1 come over hoe	1	1.0
11898	If y'all preppy bitches ever arguing like this at a party and don't do nothing y'all getting hit with a bottle fr	1	0.0
24456	http://t.co/bPU86qzYFt Ioana &#8211; Tiny teen Ioana fucks her tender pussy with a&#160;vibrator http://t.co/bRzLCfy7xE	1	1.0
5685	@anniec0429 ugly white bitch	1	2.0
20841	RT @yaboybillnye: u a 10? on the pH scale maybe cause you basic hoe	1	1.0
7217	@shawnpitts77 all I wear is vineyard vines and American flag chubbies. I'm the OPPOSITE of a wigga.	1	0.0
23374	Why isn't Rogers in the game? What a pussy! No heart. Not tough. Where's the out cry? Oh he's really hurt? No excuse. Cutler's tougher...	1	1.0
23918	You think I'd learn by now that once red flag bullshit appears to gtfo. But nooooo I have to have faggot ass faith in people.	1	1.0
4354	"@NYRKelsMads 
You never survive in da colored hood"	2	2.0
2979	@CruzanChoklate look at you with yellow fever.	2	1.0
2846	@CarelessOne92 weeknd dont save hoes b, idunno bout Drake	1	1.0
387	"""@ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5"" you got hoes from left to right &#128514;&#128514; do yah thang!"	1	2.0
18959	RT @almostkanye: RT @Resolutionary_: if Crabtree woulda caught that over Sherman for the game y'all woulda said Sherman trash &amp; he got what&#8230;	2	1.0
3959	@KoiyaThePerv exactly so tweet some other shit fuck all that don't be like everybody this ain't monkey see monkey do koiya	1	1.0
23459	Work ,nigga fuck work!! It's Friday bitches, fuck Friday!! All about Saturday !!! Tomorrow will be epic!!	1	1.0
13122	Me and my bitch song #IfIHadMe1 http://t.co/Qlt02eLfAf	1	1.0
16518	RT @LauraRosenCohen: #AskDrMann Is having no amici briefs filed on your behalf kind of like Charlie Brown never, ever getting ANY Valentin&#8230;	2	1.0
4332	"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla..."	0	2.0
23973	Young Thug called a bitch his twin on a track. I don't even know what he mean by that but I'm definitely bout to start calling bitches that	1	2.0
20617	RT @thewhite_gucci: This bitch just blew my high and i was high off all of these drugs	1	1.0
4578	@Pudingtane ....yeah....I don't think its about #injuns. I think #redskins is about #politics and #alcoholism in #WashingtonDC .....	2	2.0
19414	"RT @fart: i just found out that ""marehood"" is code for ""horse pussy"" #brony #mlp http://t.co/ycQTmM3lid"	1	1.0
12321	Its uno shawty id drop my imaginary hoes 4	1	1.0
3328	@GenuinelyOT you out yo mind. Rose colder than Kim, &amp; way more down to earth. Kanye bitch give him more problems than Wiz's does.	1	1.0
23549	Ya last nicca couldn't beat it .. I hit it like a free throw!	1	0.0
21998	The boy who shot albino deer http://t.co/D4XajBEIb1	2	1.0
5768	@big_msudawg11 oh state, just enjoy your trailer trash and your sub par sports.	2	2.0
4193	@Meeeesh1395 damn makin bitches jealous in reality &amp; Twitter/facebook. Prolly mad bc if her pic was posted it wouldnt be taken as a joke! &#128514;	1	1.0
16603	"RT @Lipe_the_Great: Had to charge my ipod. 
Fuck the redskins."	1	2.0
19586	RT @iDntWearCondoms: Stop stalkin your girl social media u bitch ass nigga	0	2.0
15661	RT @Fvnxy: When bae turns out to be a hoe http://t.co/h37nSQCmaR	1	1.0
20034	RT @lyns_Boo: Mansion Elan tonight bitch! &gt;&gt;&gt;&gt;	1	0.0
9180	Eating pussy is fun	1	0.0
23190	When it start thundering bitches be like I wana cuddle naw bitch you just wana excuse to suck a dick you and MiMi sit tf down in a corner	1	1.0
2181	(looks over at oomf) RT @shethepete Does pretending to have no bitches really work or nah?	1	2.0
3996	@LampreyMilt @DelSchilling @BertLoch No woman deserves to be sole stomped like that. He is a bitch, and so is everyone watching doing nada.	1	0.0
9188	Elizabeth is a.stupid hoe.	0	2.0
20356	RT @rhythmixx_: @Weyheymariam @jaymcnuggets that's how I drive you bitch http://t.co/drK5C0txtQ	1	1.0
22706	Too little too late bitch ass nigga	1	2.0
2969	@Cotton_Candy9 hell Idk who did but that pussy better be golden	1	1.0
1890	&#8220;@mckinley719: If you're going to talk shit about my sister. Don't play no pussy shit. Say it to her face yo! #JustSaying!&#8221; #slapAbitch &#128075;	1	2.0
18639	RT @Zubiaa_3o3: You can't take no ones bitch.	1	2.0
13965	Once we break up, ion want the pussy nomore... RT @CPrice_504: Y&#8217;all really hate @Xbox huh?	1	1.0
18114	"RT @TheRealIceTre: bae: ""come over""

me: ""i'm tryna catch a pokemon""

bae: ""i'm horny tho""

me: ""bitch it's a fucking mewtwo"""	1	1.0
1957	&#8220;@taylorsimonee_: I tend to have more sense that bitches older than me. That's sad.&#8221;	1	2.0
5644	@alesiahenderson wat a faggot	1	1.0
23208	When she wit me got yo bitch open	1	2.0
22354	They thought I wouldn't make it pussy nigga we made it	1	1.0
20325	RT @raeleenehoe: I hate it when a bitch know I don't fuck with her &amp; she really trying to talk to me like we cool nahh bitch foh you don't &#8230;	1	1.0
16968	"RT @NFLonFOX: Palmer to Fitzgerald - TOUCHDOWN! 

7-yard slant gives Arizona the 7-0 lead.

8 plays, 79 yds"	2	2.0
11882	If these hoes ain't lying about being fat they hiding a backpage profile some where...	1	1.0
22837	Ugh he's mine bitches! He's mine &amp; mine only. That's my baby, my man. Just know &amp; be aware. That's me!	1	1.0
5004	@TechN9ne why did they add your name all ghetto like that? Looks like they used label maker, lol!	2	1.0
8759	Cooking breakfast in the nude is wifey status? Fuck no. I have actually cooked before &amp; I aint about to get no grease burns on my nips!&#128562;&#128565;	1	1.0
8617	Carter needs to shut the fuck up, fucking bitch ass always trying to start shit	1	2.0
7486	@whatupag at least it's not antville, because thats for cunts.	1	2.0
19791	RT @jimjefferies: I'm never watching brave heart again! You cunts don't want freedom	1	1.0
13487	My worse bitch looks better than your main bitch. Now that's bad right there lol	1	2.0
5688	@aravosis May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch	0	1.0
21194	She make me wanna take things slow but I can't even trust a hoe	1	0.0
9127	Dudes proudly volunteer to be baby daddy #2,3,4 and 5.Whether they'll be a father or not all over some pussy property.	1	1.0
24574	im wearing a sweater and it's ike 80 degrees in my house	2	1.0
1066	&#128557;&#128557; RT @KingHov1313: Niggaz get free pussy off of bounce beats alone!&#128584;&#128557;&#128557;&#128557;&#128557;	1	2.0
24917	she thru me dat pussy but I never caught it... u asking me why yo.. it got to much mileage	1	1.0
24182	brass monkey dat funky monkey http://t.co/NaDoF9QqDa	2	1.0
9163	Early bird gets the worm!	2	1.0
13213	Money, hoes, cars and clothes	1	2.0
24744	"my pussy pops severely, 
and yours don't!!!"	1	1.0
8230	Bet you ain't gone @ em tho..&#128564;&#128514; RT @_SelfMadePhat_: Na why OOMF just tweeted that ?&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; &amp; she know ha pussy WACK	1	0.0
3750	@JerGucci my luck the bitch gonna drug me an I won't even kno what happened lmao	1	2.0
23379	Why the fuck are the @Yankees throwing batting practice tonight? Holy shit...	1	2.0
24063	and I gotta say I dont like this ashley brooks. omfg creepy psycho bitch	1	1.0
1311	"&#8220;@GoldieMack_: &#8220;@Treslyon: @GoldieMack_ shit where you from&#8221;

Baltimore...&#8221; Man them hoes fine &amp; crazy"	1	1.0
23134	"When Chief Keef said ""I aint done turning up bitch!"" http://t.co/bx2mXV2osO"	1	2.0
23846	You know what, all you are doing is being a burden to me. A fuckin annoyance and I hate bitches like you	1	1.0
4463	@OhhhChad here come the desperate hoes &#128514;	1	1.0
7660	A lotta u niccas ain't who u say u is!	1	1.0
21611	Steve McNair got murdered by his side bitch man life is crazy	1	1.0
9193	Endless but they really trash so none RT @Whoa_Kimbosabe: Men: how many positive(s) and possibles do y'all have on fri thru sun night?	2	1.0
9037	Don't follow the astros they said. They're trash they said. Well now look at them #astros	2	1.0
22293	These niccas sangin on dey partnas witout a Grammy award	1	1.0
23932	You want thingamabobs? I got twenty bitch	1	1.0
18684	RT @_Ezzzylove: She a bad bitch, let's get to it right away .	1	1.0
18396	RT @VillageBae: Don't block me because you think a post is about you...just ask me. Like a boss. You employee ass bitch.	1	1.0
17116	RT @O3_Millz: I wonder if mfers gon be mad I took they bitch &#128064;&#128514;&#128514;	1	2.0
3176	@EaglesandHeat @Bpfillherup @SoleUniv nigga you done bumped yo head. Li nings fire but Kobe 9 Elite golds are trash!? http://t.co/NaadECTQAk	1	1.0
2601	@Bam_N_DeyMouth grindin cuzz thats all shit dont stop wats good witcha thou bitch you been mia too	1	1.0
14200	Playing to white guilt lasted one last time, whitey felt 'absolved', it ends today. It ends in the fields/suburbs of Pennsylvania.	0	2.0
9038	Don't fucc wit Coward cuz he a bitch n left LA	1	1.0
484	"""I got a sister, she told me stop calling women bitches.."""	1	2.0
7094	@realDonaldTrump call him a pussy as he should!	1	0.0
19620	RT @iRealFrankOcean: It goes from &#8220;babe&#8221; to &#8220;bitch&#8221; &#8220;I love you&#8221; to &#8220;I hate you&#8221; &#8220;I need you&#8221; to &#8220;fuck you&#8221; &#8220;you&#8217;re my everything&#8221; to &#8220;you&#8217;&#8230;	1	1.0
8007	"Any solution to ZOG which doesn't deal with demographics - only laws - is no solution.
#NorthwestImperative
http://t.co/Vhy5s2apCn"	2	1.0
7090	@rbigwood @GameOfArmsAMC of course! Win or lose you always had the most exciting matches. Spilt blood and all and you aren't a trash talker!	2	2.0
7945	And dis shit is for the birds 2 http://t.co/o1pKDhYAX9	1	1.0
230	"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"	1	2.0
20262	RT @papo_fonseca: Niqqas talk more then bitches these days.	1	2.0
19463	RT @gemini_starr These hoes be acting up!	1	2.0
23897	You say you classy and sadity I say bitch you a tease	1	0.0
3594	@Im_Thirst randies are fags	0	1.0
17011	RT @NeskorikKenneth: Since you couldn't keep my dick outa your mouth at least keep my name out of it. Y'all some hoes for real.	1	2.0
8558	Can you catch a box hoe	1	2.0
17667	RT @ShawnHarvey0: @1stBlocJeremiah I ain't gettin my hands tatted dumb ass, y yo bitch ass leave da bus stop last night, the main was goin	1	2.0
7420	@tsmith4569 Sorry I missed that, you mean where I live is disgusting or that that muzzies in the UK r disgusting, or both? Have a great Sun.	2	1.0
328	"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof"	2	1.0
16175	RT @JewlzSantana: making every bitch feel important...	1	0.0
15603	RT @FriendlyAssh0le: First I charge my phone, then I text your bitch	1	1.0
15933	"RT @IKeepitRealer: ChrisBrown a bitch 4 hittin a Woman
JayZ a bitch 4 lettin a woman hit him
bitches needa make up ya mind &#128134;
Yah want yah a&#8230;"	1	2.0
2368	@1stBlock_Rody yu ah hoe	1	1.0
111	"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"	0	1.0
9860	HBA trash	2	1.0
22629	This white bitch tried to set me up for a racial war ... Lol bitch it's impossible I'm smarter then you	0	1.0
17724	RT @Sir_Strange: Sorry that I came into your pussy like a wrecking ball.	1	2.0
12058	Im the biggest pussy when it comes to scary stuff	1	1.0
22731	"Trash.. see how i capitalized the ""T"" in Trash.. RT @misskai__: Wtf is this Oreo song by r Kelly ? &#128514; tf"	1	2.0
13156	"Met this bitch online. Call her my ""e-bae"""	1	2.0
4619	@Rasheed_Sheen everything but im outside come get this bitch	1	1.0
20983	Roll tide, bitches	1	0.0
10205	How the hell was David Murphy's hit not a home run?! Clearly over the yellow line. @MLB another umpire mess up.... Smh	2	2.0
8874	Damn this bitch nasty lol	1	1.0
3271	@FrancoisKilljoy bitch stop hatin cause they ain't make em in toddler size. You should be happy, they make em in GS now	1	2.0
24277	"dope in the bag, pretty bitch on the side
I sell dope in the back,if you tryna get high #ty"	1	2.0
11460	I'll give you a baby zebra girl.	2	2.0
11197	I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;	1	0.0
11659	I'm really not a complete bitch, just socially handicapped &#128587;	1	1.0
16616	RT @LiveAndUncut: if you really wanna please your man, seeing him pleased Gon turn you on. but you know, bitches aint really what they clai&#8230;	1	2.0
4993	@Taste_My_Lips57 Ain't say it's wrong but it's just as stupid as hoes showing up to get attention from dudes.No one is bigger than the game.	1	2.0
12940	Lol, so since I'm from the south I automatically sound like a fucking redneck. Hahahaha how about fuck you, stupid ass.	0	2.0
13373	My honky, my honky. My motherfucking honky.	1	1.0
